,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy,policy
,Critical Cases,Diseased,Infected asymptomatic,Infected symptomatic,Isolated,Recovered,Susceptible,accumulated cases,case fatality rate,contact infectivity asymptomatic self,contact infectivity quarantine self,contact infectivity symptomatic self,contacts per person symptomatic self,critical cases recovery rate,death rate,deimmunization rate,fraction of symptomatic,incidence per 100000,infected asymptomatic recovery rate,infected critical case rate,infected symptomatic recovery rate,infection rate,infection rate asymptomatic self,infection rate quarantined self,infection rate symptomatic self,init total population,isolated critical case rate,isolated recovery rate,isolation rate asymptomatic,isolation rate symptomatic,new cases,non controlled population,symptomatic rate,total infected,total infection rate,Critical Cases,Diseased,Infected asymptomatic,Infected symptomatic,Isolated,Recovered,Susceptible,accumulated cases,case fatality rate,contact infectivity asymptomatic self,contact infectivity quarantine self,contact infectivity symptomatic self,contacts per person symptomatic self,critical cases recovery rate,death rate,deimmunization rate,fraction of symptomatic,incidence per 100000,infected asymptomatic recovery rate,infected critical case rate,infected symptomatic recovery rate,infection rate,infection rate asymptomatic self,infection rate quarantined self,infection rate symptomatic self,init total population,isolated critical case rate,isolated recovery rate,isolation rate asymptomatic,isolation rate symptomatic,new cases,non controlled population,symptomatic rate,total infected,total infection rate
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.375,0.03749999999999999,0.1875,15.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.37499995312500584,0.37499995312500584,0.0,0.0,8000001,0.0,0.0,0.0,0.0,0.1,8000001.0,0.1,1.0,0.37499995312500584,0.0,0.0,1.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.375,0.03749999999999999,0.1875,15.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.37499995312500584,0.37499995312500584,0.0,0.0,8000001,0.0,0.0,0.0,0.0,0.1,8000001.0,0.1,1.0,0.37499995312500584
1.0,0.0009659320396173257,1.2528149352285857e-05,1.2618920491107057,0.10226875270955893,0.0,0.06503303514265771,7999999.569827704,0.11224127683953933,0.00011161802239826761,0.375,0.03749999999999999,0.1875,15.0,5.795592237703953e-05,3.8637281584693025e-05,0.00018064731984071585,0.07496825342957873,0.0014030157851172684,0.06309460245553529,0.0020453750541911788,0.018408375487720608,0.49238482158538316,0.4732094338780093,0.0,0.019175387707373873,8000001,0.0,0.0,0.0,0.0,0.12618920491107058,8000000.999021541,0.12618920491107058,1.3641608018202647,0.49238482158538316,0.0009659320396173257,1.2528149352285857e-05,1.2618920491107057,0.10226875270955893,0.0,0.06503303514265771,7999999.569827704,0.11224127683953933,0.00011161802239826761,0.375,0.03749999999999999,0.1875,15.0,5.795592237703953e-05,3.8637281584693025e-05,0.00018064731984071585,0.07496825342957873,0.0014030157851172684,0.06309460245553529,0.0020453750541911788,0.018408375487720608,0.49238482158538316,0.4732094338780093,0.0,0.019175387707373873,8000001,0.0,0.0,0.0,0.0,0.12618920491107058,8000000.999021541,0.12618920491107058,1.3641608018202647,0.49238482158538316
2.0,0.0038635745013842464,0.0001017639770021273,1.6119819352899738,0.2136539406696134,0.0,0.16424209101143322,7999999.006156695,0.254833785108509,0.000399334715209743,0.375,0.03749999999999999,0.1875,15.0,0.00023181447008305478,0.00015454298005536987,0.0004562280305873145,0.1170298762656124,0.003185421915678623,0.0805990967644987,0.004273078813392268,0.038457709320530414,0.6445531792865015,0.60449307537529,0.0,0.040060103911211516,8000001,0.0,0.0,0.0,0.0,0.1611981935289974,8000000.996034661,0.1611981935289974,1.8256358759595872,0.6445531792865015,0.0038635745013842464,0.0001017639770021273,1.6119819352899738,0.2136539406696134,0.0,0.16424209101143322,7999999.006156695,0.254833785108509,0.000399334715209743,0.375,0.03749999999999999,0.1875,15.0,0.00023181447008305478,0.00015454298005536987,0.0004562280305873145,0.1170298762656124,0.003185421915678623,0.0805990967644987,0.004273078813392268,0.038457709320530414,0.6445531792865015,0.60449307537529,0.0,0.040060103911211516,8000001,0.0,0.0,0.0,0.0,0.1611981935289974,8000000.996034661,0.1611981935289974,1.8256358759595872,0.6445531792865015
3.0,0.008752003512698912,0.0003456631009606649,2.075116043396362,0.3416005800419744,0.0,0.30491781259701517,7999998.269267891,0.43776219269298006,0.0007896138742230125,0.375,0.03749999999999999,0.1875,15.0,0.0005251202107619347,0.0003500801405079565,0.0008469939238805977,0.14134904222075023,0.005472026724658911,0.1037558021698181,0.006832011600839488,0.0614881044075554,0.8422183385051398,0.7781682515373897,0.0,0.0640500869677502,8000001,0.0,0.0,0.0,0.0,0.2075116043396362,8000000.990902326,0.2075116043396362,2.4167166234383366,0.8422183385051398,0.008752003512698912,0.0003456631009606649,2.075116043396362,0.3416005800419744,0.0,0.30491781259701517,7999998.269267891,0.43776219269298006,0.0007896138742230125,0.375,0.03749999999999999,0.1875,15.0,0.0005251202107619347,0.0003500801405079565,0.0008469939238805977,0.14134904222075023,0.005472026724658911,0.1037558021698181,0.006832011600839488,0.0614881044075554,0.8422183385051398,0.7781682515373897,0.0,0.0640500869677502,8000001,0.0,0.0,0.0,0.0,0.2075116043396362,8000000.990902326,0.2075116043396362,2.4167166234383366,0.8422183385051398
4.0,0.015837575618796108,0.0008274095145276172,2.6840754086987095,0.49480856728924405,0.0,0.49720703362047347,7999997.307243997,0.6738695613403954,0.0012278481801163642,0.375,0.03749999999999999,0.1875,15.0,0.0009502545371277664,0.0006335030247518443,0.0013811306489457597,0.15565480559430117,0.008423368463833885,0.13420377043493548,0.009896171345784882,0.08906554211206394,1.099304379485711,1.0065278157508786,0.0,0.09277656373483242,8000001,0.0,0.0,0.0,0.0,0.26840754086987095,8000000.983335007,0.26840754086987095,3.1788839759879535,1.099304379485711,0.015837575618796108,0.0008274095145276172,2.6840754086987095,0.49480856728924405,0.0,0.49720703362047347,7999997.307243997,0.6738695613403954,0.0012278481801163642,0.375,0.03749999999999999,0.1875,15.0,0.0009502545371277664,0.0006335030247518443,0.0013811306489457597,0.15565480559430117,0.008423368463833885,0.13420377043493548,0.009896171345784882,0.08906554211206394,1.099304379485711,1.0065278157508786,0.0,0.09277656373483242,8000001,0.0,0.0,0.0,0.0,0.26840754086987095,8000000.983335007,0.26840754086987095,3.1788839759879535,1.099304379485711
5.0,0.025489293693373678,0.0016415748740205875,3.481894344157579,0.6838273643598136,0.0,0.7548411773527365,7999996.052306236,0.9797596731440654,0.0016754872842977358,0.375,0.03749999999999999,0.1875,15.0,0.0015293576216024204,0.0010195717477349472,0.002096781048202046,0.16415579633215396,0.01224699438342652,0.17409471720787895,0.013676547287196273,0.12308892558476645,1.433927127910046,1.3057095759554358,0.0,0.12821755195461018,8000001,0.0,0.0,0.0,0.0,0.3481894344157579,8000000.972869122,0.3481894344157579,4.165721708517393,1.433927127910046,0.025489293693373678,0.0016415748740205875,3.481894344157579,0.6838273643598136,0.0,0.7548411773527365,7999996.052306236,0.9797596731440654,0.0016754872842977358,0.375,0.03749999999999999,0.1875,15.0,0.0015293576216024204,0.0010195717477349472,0.002096781048202046,0.16415579633215396,0.01224699438342652,0.17409471720787895,0.013676547287196273,0.12308892558476645,1.433927127910046,1.3057095759554358,0.0,0.12821755195461018,8000001,0.0,0.0,0.0,0.0,0.3481894344157579,8000000.972869122,0.3481894344157579,4.165721708517393,1.433927127910046
6.0,0.038265245794528044,0.0029011051804008333,4.524900314742964,0.9217850744108758,0.0,1.0961147224823544,7999994.416033524,1.3769651618661785,0.0021068835005738362,0.375,0.03749999999999999,0.1875,15.0,0.0022959147476716824,0.001530609831781122,0.00304476311800654,0.16923780401314462,0.017212062371819433,0.2262450157371482,0.018435701488217514,0.16592131339395763,1.8696707903693013,1.696836230270108,0.0,0.17283456009919318,8000001,0.0,0.0,0.0,0.0,0.4524900314742964,8000000.958833635,0.4524900314742964,5.446685389153839,1.8696707903693013,0.038265245794528044,0.0029011051804008333,4.524900314742964,0.9217850744108758,0.0,1.0961147224823544,7999994.416033524,1.3769651618661785,0.0021068835005738362,0.375,0.03749999999999999,0.1875,15.0,0.0022959147476716824,0.001530609831781122,0.00304476311800654,0.16923780401314462,0.017212062371819433,0.2262450157371482,0.018435701488217514,0.16592131339395763,1.8696707903693013,1.696836230270108,0.0,0.17283456009919318,8000001,0.0,0.0,0.0,0.0,0.4524900314742964,8000000.958833635,0.4524900314742964,5.446685389153839,1.8696707903693013
7.0,0.05495208602641899,0.004745613832706912,5.886689706145368,1.2253024526602632,0.0,1.5451832707294795,7999992.28312686,1.8934636587421263,0.0025063136600464455,0.375,0.03749999999999999,0.1875,15.0,0.003297125161585139,0.0021980834410567597,0.0042921757520263315,0.17228681152905506,0.023668292775739983,0.29433448530726836,0.024506049053205265,0.2205544414788474,2.4372502122129367,2.207506250956099,0.0,0.2297439612568375,8000001,0.0,0.0,0.0,0.0,0.5886689706145367,8000000.940302289,0.5886689706145367,7.111992158805631,2.4372502122129367,0.05495208602641899,0.004745613832706912,5.886689706145368,1.2253024526602632,0.0,1.5451832707294795,7999992.28312686,1.8934636587421263,0.0025063136600464455,0.375,0.03749999999999999,0.1875,15.0,0.003297125161585139,0.0021980834410567597,0.0042921757520263315,0.17228681152905506,0.023668292775739983,0.29433448530726836,0.024506049053205265,0.2205544414788474,2.4372502122129367,2.207506250956099,0.0,0.2297439612568375,8000001,0.0,0.0,0.0,0.0,0.5886689706145367,8000000.940302289,0.5886689706145367,7.111992158805631,2.4372502122129367
8.0,0.07662042143257569,0.007351555832694688,7.663320033796578,1.6156556167660046,0.0,2.1337731665848865,7999989.503279197,2.565648726909129,0.0028653789412361234,0.375,0.03749999999999999,0.1875,15.0,0.004597225285954541,0.0030648168573030278,0.005927147684958018,0.17412004057452696,0.03207060507753848,0.3831660016898289,0.032313112335320096,0.2908180110178808,3.1766759089858687,2.873740913007937,0.0,0.3029349959779317,8000001,0.0,0.0,0.0,0.0,0.7663320033796578,8000000.916028014,0.7663320033796578,9.278975650562582,3.1766759089858687,0.07662042143257569,0.007351555832694688,7.663320033796578,1.6156556167660046,0.0,2.1337731665848865,7999989.503279197,2.565648726909129,0.0028653789412361234,0.375,0.03749999999999999,0.1875,15.0,0.004597225285954541,0.0030648168573030278,0.005927147684958018,0.17412004057452696,0.03207060507753848,0.3831660016898289,0.032313112335320096,0.2908180110178808,3.1766759089858687,2.873740913007937,0.0,0.3029349959779317,8000001,0.0,0.0,0.0,0.0,0.7663320033796578,8000000.916028014,0.7663320033796578,9.278975650562582,3.1766759089858687
